record_id,source_file,title,authors,year,journal,doi,security_include,security_pass,security_status,security_gates_json,security_reason_cn,exclusion_trigger_codes,decision_reason_cn,confidence,fulltext_chars,attempts
76,00076_2014_launching-successful-e-markets-a-broker-level-order-routing-analysis-of-two-options-exchanges.md,Launching Successful E-Markets: A Broker-Level Order-Routing Analysis of Two Options Exchanges,Chris Parker; Bruce W. Weber,2014,Journal of Management Information Systems,10.2753/mis0742-1222310203,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究电子期权交易所的订单路由与市场增长，核心是会员关系、网络效应和市场竞争，不涉及任何恶意或对抗行为者，也不涉及信息系统的攻击、漏洞或防御。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,全文以电子市场成功推出和订单流分配为研究问题，属于信息系统扩散与市场设计范畴，无攻防安全核心内容。,0.97,85810,1
80,00080_2009_relation-of-cio-background-it-infrastructure-and-economic-performance.md,"Relation of CIO background, IT infrastructure, and economic performance",Marion G. Sobol; Gary Klein,2009,Information & Management,10.1016/j.im.2009.05.001,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文研究CIO背景、IT基础设施和IT导向与企业经济绩效的关系，不涉及恶意行为者、攻击或安全防御。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章核心是CIO特征、IT基础设施与财务绩效的关系，属于一般管理与IT投资研究，不涉及攻防安全。,0.97,46837,1
84,00084_2007_perceived-critical-mass-and-the-adoption-of-a-communication-technology.md,Perceived critical mass and the adoption of a communication technology,Craig Van Slyke; Virginia Ilie; Hao Lou; Thomas Stafford,2007,European Journal of Information Systems,10.1057/palgrave.ejis.3000680,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文研究感知临界质量对即时通讯采纳意向的影响，属于一般技术接受模型研究，未涉及任何恶意行为者、攻击、漏洞或安全防御。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章是通信技术采纳的行为研究，无恶意或对抗行为者，无安全损害，也无攻击/防御焦点，因此不属于攻防安全。,0.99,78265,1
86,00086_2011_a-finite-mixture-logit-model-to-segment-and-predict-electronic-payments-system-adoption.md,A Finite Mixture Logit Model to Segment and Predict Electronic Payments System Adoption,Ravi Bapna; Paulo Goes; Kwok Kee Wei; Zhongju Zhang,2011,Information Systems Research,10.1287/isre.1090.0277,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章核心是电子支付系统采纳预测与市场细分的建模方法，属于一般预测/技术采纳研究，不含恶意行为者或攻防安全内容。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章是技术采纳预测建模，无攻击、威胁或防御相关研究核心。,0.95,94534,1
90,00090_2007_altar-in-action-knowledge-management.md,ALTAR in action: knowledge management,Hanifa Shah; Alan Eardley; Trevor Wood-Harper,2007,European Journal of Information Systems,10.1057/palgrave.ejis.3000721,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文围绕企业知识管理（KM）的行动研究，讨论知识资产、知识价值链和组织学习，不涉及恶意行为者或攻防安全。,NO_MALICIOUS_ACTOR,文章是知识管理应用研究，无任何攻击、漏洞或安全防御相关证据。,1.0,45362,1
92,00092_2014_recommender-systems-based-on-quantitative-implicit-customer-feedback.md,Recommender systems based on quantitative implicit customer feedback,Josef Bauer; Alexandros Nanopoulos,2014,Decision Support Systems,10.1016/j.dss.2014.09.005,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究推荐系统基于量化隐式反馈的矩阵分解分布扩展，不涉及攻击、漏洞或恶意行为者。,NO_MALICIOUS_ACTOR,全文为推荐系统算法改进研究，无任何攻击或防御安全内容，判定与攻防安全无关。,1.0,69866,1
104,00104_2016_would-you-like-to-know-who-knows-connecting-employees-based-on-process-oriented-knowledge-mappin.md,Would you like to know who knows? Connecting employees based on process-oriented knowledge mapping,Michael Leyer; Christian Schneider; Nina Claus,2016,Decision Support Systems,10.1016/j.dss.2016.05.003,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究业务流程导向的知识地图系统以促进员工间知识共享，不涉及任何恶意行为者或攻防安全内容。,NO_MALICIOUS_ACTOR,全文聚焦知识管理与员工社交连接，无恶意/对抗行为者、无攻击或漏洞相关研究，与攻防安全无关。,0.97,84956,1
106,00106_2021_thinking-technology-as-human-affordances-technology-features-and-egocentric-biases-in-technology.md,"Thinking Technology as Human: Affordances, Technology Features, and Egocentric Biases in Technology Anthropomorphism",Jianqing (Frank) Zheng; Sirkka L. Jarvenpaa,2021,Journal of the Association for Information Systems,10.17705/1jais.00698,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章核心是技术拟人化的心理机制与自我中心偏见，不涉及对信息系统的恶意攻击、漏洞利用或安全防御。,NO_MALICIOUS_ACTOR | SECURITY_PERIPHERAL_CONTEXT,全文无恶意行为者或攻击/防御焦点，属于人机交互与消费心理研究，仅部分提及隐私作为边缘语境，不纳入攻防安全。,0.95,104773,1
110,00110_2019_from-free-to-paid-customer-expertise-and-customer-satisfaction-on-knowledge-payment-platforms.md,From free to paid: Customer expertise and customer satisfaction on knowledge payment platforms,Jin Zhang; Jilong Zhang; Mingyue Zhang,2019,Decision Support Systems,10.1016/j.dss.2019.113140,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究知识付费平台的顾客满意度和顾客专业知识，核心变量为价格、历史价格、历史满意度，未涉及任何恶意或对抗行为者，也未涉及信息系统安全攻击或防御。,NO_MALICIOUS_ACTOR,全文为电子商务消费者行为研究，无攻防安全内容。,0.98,77634,1
114,00114_2003_rigor-in-information-systems-positivist-case-research-current-practices-trends-and-recommendatio.md,"Rigor in Information Systems Positivist Case Research: Current Practices, Trends, and Recommendations1",Line Dubé; Guy Paré,2003,MIS Quarterly,10.2307/30036550,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章是信息系统案例研究方法论严谨性的综述与评估，不涉及任何攻击、恶意行为者或信息安全攻防内容。,NO_MALICIOUS_ACTOR,全文为案例研究方法论评估，无恶意行为者、安全损害或攻击防御焦点，属于一般研究方法综述。,0.99,130860,1
116,00116_2013_bridging-the-qualitativequantitative-divide-guidelines-for-conducting-mixed-methods-research-in.md,Bridging the Qualitative–Quantitative Divide: Guidelines for Conducting Mixed Methods Research in Information Systems1,Viswanath Venkatesh; Susan A. Brown; Hillol Bala,2013,MIS Quarterly,10.25300/misq/2013/37.1.02,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章讨论信息系统混合研究方法的方法论指南，不涉及恶意行为者、攻击或漏洞等攻防安全内容。,NO_MALICIOUS_ACTOR,文章是研究方法论指南，与攻防安全无关。,1.0,175357,1
118,00118_2018_toward-a-real-time-and-budget-aware-task-package-allocation-in-spatial-crowdsourcing.md,Toward a real-time and budget-aware task package allocation in spatial crowdsourcing,Pengkun Wu; Eric W.T. Ngai; Yuanyuan Wu,2018,Decision Support Systems,10.1016/j.dss.2018.03.010,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究空间众包任务包的实时预算感知分配，旨在提高任务分配率和结果质量，不涉及恶意或对抗行为者，也无攻击、漏洞或安全防御内容。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,全文核心为空间众包中的任务分配与预算优化，不涉及任何恶意行为者、攻击或安全防御，属一般运营优化研究。,0.97,67885,1
126,00126_2007_the-impact-of-context-aware-fisheye-models-on-understanding-business-processes-an-empirical-stud.md,The impact of context-aware fisheye models on understanding business processes: An empirical study of data flow diagrams,Ozgur Turetken; David Schuff,2007,Information & Management,10.1016/j.im.2006.10.004,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究鱼眼视图可视化对理解业务流程数据流图的影响，属于信息可视化与人机交互领域，全文未涉及任何恶意行为者、攻击或安全防护。,NO_MALICIOUS_ACTOR,全文未涉及恶意或对抗行为者，无攻击或漏洞相关的研究核心，属于一般信息可视化方法研究。,0.99,50551,1
128,00128_2019_using-agent-based-modelling-to-investigate-diffusion-of-mobile-based-branchless-banking-services.md,Using agent-based modelling to investigate diffusion of mobile-based branchless banking services in a developing country,Muhammad Adeel Zaffar; Ram L. Kumar; Kexin Zhao,2019,Decision Support Systems,10.1016/j.dss.2018.10.015,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文研究移动银行服务的扩散与采纳，未涉及任何恶意行为者、攻击、漏洞或安全防御。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章属于金融科技创新扩散研究，无攻防安全相关性。,1.0,84521,1
130,00130_2019_can-outsourcing-of-information-technology-foster-innovations-in-client-organizations-an-empirica.md,Can Outsourcing of Information Technology Foster Innovations in Client Organizations? An Empirical Analysis1,Anjana Susarla; Tridas Mukhopadhyay,2019,MIS Quarterly,10.25300/misq/2019/13535,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": true}",文章研究IT外包合同设计（可信承诺与或有控制权）对创新绩效的影响，属于组织间合同与创新管理，全文未涉及恶意行为者、安全攻击或防御。,NO_MALICIOUS_ACTOR,本文完全围绕IT外包合同设计与业务创新绩效，无任何信息系统攻防安全内容，应排除。,0.99,120303,1
132,00132_2016_transforming-healthcare-policy-discourses-of-it-and-patient-centred-care.md,Transforming healthcare: policy discourses of IT and patient-centred care,Ela Klecun,2016,European Journal of Information Systems,10.1057/ejis.2014.40,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文为英国医疗政策中IT与以患者为中心护理的话语分析，不涉及任何恶意行为者或攻击防御内容。,NO_MALICIOUS_ACTOR,研究属于健康政策与信息系统应用研究，无攻击、漏洞、威胁或防御内容，不符合攻防安全定义。,1.0,73799,1
134,00134_2012_negotiating-language-barriers-a-methodology-for-cross-organisational-conceptual-modelling.md,Negotiating language barriers – a methodology for cross-organisational conceptual modelling,Gunnar Dietz; Martin Juhrisch,2012,European Journal of Information Systems,10.1057/ejis.2011.30,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": true}",研究核心是跨组织概念建模的模型比较方法论，全文未涉及恶意行为者、攻击或安全防御。,NO_MALICIOUS_ACTOR,全文专注于概念建模中的语言障碍和模型比较算法，没有任何恶意行为者、攻击或安全防御内容。,0.98,122631,1
136,00136_2013_information-and-trust-in-hierarchies.md,Information and trust in hierarchies,Vicente Salas-Fumás; J. Javier Sanchez-Asin,2013,Decision Support Systems,10.1016/j.dss.2013.01.008,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究的是层级组织中信任与信息成本对平均控制幅度的影响，属于组织经济学研究，未涉及任何恶意行为者或信息安全攻防内容。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,全文围绕信任、ICT资本、市场竞争等对组织层级规模（平均控制幅度）的影响，属于一般组织经济学研究，无攻击、防御或恶意行为者，因此不纳入攻防安全。,0.97,88503,1
138,00138_2020_physician-voice-characteristics-and-patient-satisfaction-in-online-health-consultation.md,Physician voice characteristics and patient satisfaction in online health consultation,Shan Liu; Muyu Zhang; Baojun Gao; Guoyin Jiang,2020,Information & Management,10.1016/j.im.2019.103233,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文研究医生语音特征（语速、频谱质心）对在线问诊患者满意度的影响，未涉及任何恶意或对抗行为者，亦非攻击、威胁或防御研究。,NO_MALICIOUS_ACTOR,文章属于医疗健康服务满意度研究，与系统攻防安全无关，应排除。,0.99,97244,1
140,00140_2011_a-multi-objective-optimization-for-green-supply-chain-network-design.md,A multi-objective optimization for green supply chain network design,Fan Wang; Xiaofan Lai; Ning Shi,2011,Decision Support Systems,10.1016/j.dss.2010.11.020,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究绿色供应链网络设计的多目标优化，核心是成本和CO2排放的权衡，不涉及任何恶意或对抗行为者，不属于攻防安全。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,研究内容为绿色供应链网络设计优化，属于一般运营管理与环保优化，无攻防安全元素。,0.99,51754,1
142,00142_2023_on-the-differences-between-view-based-and-purchase-based-recommender-systems.md,On the Differences Between View-Based and Purchase-Based Recommender Systems,Jing Peng; Chen Liang,2023,MIS Quarterly,10.25300/misq/2022/17875,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究两种商品推荐算法（VAV与PAP）对浏览量和销量的影响，属于电商推荐系统实证研究，不涉及任何恶意行为者或安全攻防问题。,GENERAL_OPTIMIZATION_ONLY | NO_MALICIOUS_ACTOR,全文聚焦推荐系统的算法设计与商业效果，无攻击、漏洞、恶意行为或安全防御内容，不属于攻防安全研究。,0.98,108829,1
144,00144_2024_commercializing-social-media-how-showrooms-on-social-media-fan-pages-influence-customer-behavior.md,Commercializing Social Media? How Showrooms on Social Media Fan Pages Influence Customer Behavior,Jaehwuen Jung; Shuting (Ada) Wang; Sunil Wattal,2024,MIS Quarterly,10.25300/misq/2023/17622,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",研究核心是社交媒体粉丝页面添加展示厅对客户参与、购买和取消关注的影响，属于营销与商业价值研究，不涉及恶意或对抗行为者，也不涉及攻击或漏洞防御。,NO_MALICIOUS_ACTOR | SECURITY_PERIPHERAL_CONTEXT,全文未涉及任何攻击、恶意行为者或威胁防御，属于社交媒体营销与客户行为研究，因此排除。,0.97,132538,1
146,00146_2003_in-pursuit-of-moderation-nine-common-errors-and-their-solutions.md,In Pursuit of Moderation:  Nine Common Errors and Their Solutions,Traci A. Carte; Craig J. Russell,2003,MIS Quarterly,10.2307/30036541,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章是信息系统研究中的调节效应检验方法论综述，聚焦统计错误与研究设计问题，不涉及任何恶意行为者、攻击或安全防御。,NO_MALICIOUS_ACTOR,全文内容为统计方法论的调节效应检验指南，与信息安全攻防无关。,0.99,88980,1
148,00148_2018_using-perspective-taking-to-de-escalate-launch-date-commitment-for-products-with-known-software.md,Using Perspective-Taking to De-escalate Launch Date Commitment for Products with Known Software Defects,Hyung Koo Lee; Jong Seok Lee; Mark Keil,2018,Journal of Management Information Systems,10.1080/07421222.2018.1523604,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",研究核心是产品经理对已知缺陷软件产品发布日期的承诺升级/降级行为决策，软件漏洞仅作为场景背景，未以攻击者或攻防技术为研究对象。,NO_MALICIOUS_ACTOR | SECURITY_PERIPHERAL_CONTEXT,文章属于IT项目管理和行为决策研究，安全管理仅作为情景设定，不满足攻防安全核心标准。,0.95,82310,1
150,00150_2009_b2b-e-commerce-supply-chain-integration-and-performance-a-contingency-fit-perspective-on-the-rol.md,B2B e-commerce supply chain integration and performance: A contingency fit perspective on the role of environment,Karthik N.S. Iyer; Richard Germain; Cindy Claycomb,2009,Information & Management,10.1016/j.im.2009.06.002,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",研究B2B供应链整合与绩效的权变关系，不涉及任何恶意或对抗行为者，无攻击/防御内容。,NO_MALICIOUS_ACTOR,全文核心为供应链IT投资与绩效的权变匹配，未涉及信息安全攻防，故排除。,0.98,55558,1
152,00152_2008_application-of-complex-adaptive-systems-to-pricing-of-reproducible-information-goods.md,Application of complex adaptive systems to pricing of reproducible information goods,Moutaz Khouja; Mirsad Hadzikadic; Hari K. Rajagopalan; Li-Shiang Tsay,2008,Decision Support Systems,10.1016/j.dss.2007.10.005,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文核心是盗版环境下信息产品的定价策略与利润优化，盗版被建模为消费者选择性行为，而非针对信息系统的攻击或漏洞，未涉及攻防安全。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章是关于盗版情景下的经济定价优化，没有恶意行为者攻击信息系统、没有安全损害范畴、没有攻击/防御检测焦点。,0.97,69689,1
154,00154_2013_information-systems-success-the-quest-for-the-independent-variables.md,Information Systems Success: The Quest for the Independent Variables,Stacie Petter; William DeLone; Ephraim R. McLean,2013,Journal of Management Information Systems,10.2753/mis0742-1222290401,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章是IS成功模型独立变量的文献综述，讨论任务、用户、社会、项目、组织特征对IS成功的影响，不含恶意行为者或攻击防御核心。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,全文核心是信息系统成功的影响因素综述，与攻防安全无关。,0.97,150663,1
156,00156_2009_the-application-of-som-as-a-decision-support-tool-to-identify-aacsb-peer-schools.md,The application of SOM as a decision support tool to identify AACSB peer schools,Melody Y. Kiang; Dorothy M. Fisher; Jeng-Chung Victor Chen; Steven A. Fisher; Robert T. Chi,2009,Decision Support Systems,10.1016/j.dss.2008.12.010,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文研究的是使用SOM聚类方法为商学院识别AACSB同行院校，属于一般聚类决策支持应用，不涉及任何恶意或对抗行为者、攻击或防御。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章是使用SOM进行同行院校聚类的决策支持研究，完全不涉及攻防安全。,0.99,56124,1
158,00158_2018_optimal-pricing-in-e-commerce-based-on-sparse-and-noisy-data.md,Optimal pricing in e-commerce based on sparse and noisy data,Josef Bauer; Dietmar Jannach,2018,Decision Support Systems,10.1016/j.dss.2017.12.002,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",本文研究电商环境下基于稀疏和噪声数据的最优定价算法，核心是商业利润与收入优化，不涉及任何恶意或对抗行为者，也没有攻击、防御或漏洞相关内容。,GENERAL_OPTIMIZATION_ONLY | NO_MALICIOUS_ACTOR,文章聚焦商业定价优化，缺乏信息安全攻防要素，属于一般预测/优化任务。,0.99,67794,1
